Orthogroup	Family	todMex	halSen	chlAen	ceyCya	calAnn	taeGut	todChl
OG0000000	a	61	63	23	36	2	1	7
OG0000001	a	0	3	3	1	0	0	147
OG0000002	a	0	0	0	0	0	107	0
OG0000003	a	9	26	12	15	6	21	10
OG0000004	a	0	0	0	0	0	1	72
OG0000005	a	0	0	0	0	72	0	0
OG0000006	a	0	10	10	0	12	24	11
OG0000007	a	8	10	4	8	11	12	12
OG0000008	a	2	11	10	3	12	12	13
OG0000009	a	8	9	7	7	8	14	8
OG0000010	a	13	9	5	8	13	2	8
OG0000011	a	6	8	7	7	10	7	8
OG0000012	a	0	0	0	0	0	1	51
OG0000013	a	1	1	1	0	0	45	2
OG0000014	a	0	2	1	0	4	12	28
OG0000015	a	0	0	0	0	1	0	46
OG0000016	a	7	7	6	5	7	7	6
OG0000017	a	8	6	4	8	5	7	7
OG0000018	a	0	0	0	0	0	44	1
OG0000019	a	6	5	2	3	1	0	26
OG0000020	a	0	0	0	0	0	43	0
OG0000021	a	3	2	1	1	4	10	21
OG0000022	a	0	0	0	0	0	42	0
OG0000023	a	2	3	4	1	10	18	3
OG0000024	a	5	6	4	3	10	6	6
OG0000025	a	7	14	13	3	0	0	3
OG0000026	a	1	4	0	7	6	7	14
OG0000027	a	2	4	5	1	0	0	27
OG0000028	a	5	7	4	5	6	6	6
OG0000029	a	4	3	9	7	4	3	9
OG0000030	a	5	6	3	2	8	9	5
OG0000031	a	2	6	3	3	8	8	5
OG0000032	a	1	4	4	4	7	7	8
OG0000033	a	1	0	0	2	9	15	7
OG0000034	a	1	5	4	1	10	9	4
OG0000035	a	0	1	1	1	26	4	1
OG0000036	a	5	5	5	4	4	5	5
OG0000037	a	1	5	4	1	5	12	5
OG0000038	a	1	6	4	5	4	7	6
OG0000039	a	3	5	4	1	7	6	6
OG0000040	a	6	6	3	5	4	2	6
OG0000041	a	1	2	2	2	6	16	3
OG0000042	a	1	5	5	2	6	6	7
OG0000043	a	0	1	0	0	0	31	0
OG0000044	a	3	6	4	3	5	5	5
OG0000045	a	9	3	5	7	1	1	4
OG0000046	a	2	4	3	4	6	7	4
OG0000047	a	1	0	0	1	7	13	8
OG0000048	a	1	3	3	2	6	11	4
OG0000049	a	5	4	3	4	3	3	8
OG0000050	a	0	5	2	2	9	7	5
OG0000051	a	3	6	4	2	4	5	5
OG0000052	a	4	4	2	3	4	4	8
OG0000053	a	2	4	4	4	6	4	5
OG0000054	a	0	1	1	1	11	14	1
