,file,geneID,uni_gal,gene,gene_galGal,finalgene
1,aquChr_transcript:ENSACCT00020000007_R3,GEMOMA_00015713-RA,NA,NA,NA,NA
2,aquChr_transcript:ENSACCT00020000032_R5,GEMOMA_00006506-RA,NA,NA,NA,NA
3,aquChr_transcript:ENSACCT00020000050_R0,GEMOMA_00003186-RA,Q5ZIZ2,SMYD5,SMYD5,SMYD5
4,aquChr_transcript:ENSACCT00020000054_R0,GEMOMA_00003182-RA,E1BRY3,EGR4,NA,EGR4
5,aquChr_transcript:ENSACCT00020000054_R1,GEMOMA_00003183-RA,E1BRY3,EGR4,NA,EGR4
6,aquChr_transcript:ENSACCT00020000066_R0,GEMOMA_00003176-RA,D2XUT0,HTR7,HTR7,HTR7
7,aquChr_transcript:ENSACCT00020000067_R0,GEMOMA_00003175-RA,E1BUR3,DDRGK1,DDRGK1,DDRGK1
8,aquChr_transcript:ENSACCT00020000068_R0,GEMOMA_00003173-RA,A0A1D5P369,LZTS3,LZTS3,LZTS3
9,aquChr_transcript:ENSACCT00020000069_R0,GEMOMA_00003172-RA,NA,FASTKD5,NA,FASTKD5
10,aquChr_transcript:ENSACCT00020000070_R0,GEMOMA_00003171-RA,A0A1D5PAL6,UBOX5,UBOX5,UBOX5
11,aquChr_transcript:ENSACCT00020000072_R0,GEMOMA_00003170-RA,P24787,NA,NA,NA
12,aquChr_transcript:ENSACCT00020000082_R0,GEMOMA_00003163-RA,E1BV88,SMOX,SMOX,SMOX
13,aquChr_transcript:ENSACCT00020000085_R0,GEMOMA_00003160-RA,E1BX56,LRRTM1,LRRTM1,LRRTM1
14,aquChr_transcript:ENSACCT00020000091_R0,GEMOMA_00003158-RA,Q5ZL83,SUCLG1,SUCLG1,SUCLG1
15,aquChr_transcript:ENSACCT00020000093_R0,GEMOMA_00003157-RA,A0A3Q2UIT5,RPIA,RPIA,RPIA
16,aquChr_transcript:ENSACCT00020000096_R0,GEMOMA_00003155-RA,E1BX72,NA,LOC422929,LOC422929
17,aquChr_transcript:ENSACCT00020000099_R0,GEMOMA_00003152-RA,A0A1L1RJ01,THNSL2,THNSL2,THNSL2
18,aquChr_transcript:ENSACCT00020000102_R0,GEMOMA_00003150-RA,A0A1L1RPT1,SMYD1,SMYD1,SMYD1
19,aquChr_transcript:ENSACCT00020000106_R0,GEMOMA_00003148-RA,C7ACT2,NA,LOC422926,LOC422926
20,aquChr_transcript:ENSACCT00020000109_R0,GEMOMA_00003145-RA,F1P1Q3,RMND5A,RMND5A,RMND5A
21,aquChr_transcript:ENSACCT00020000110_R0,GEMOMA_00003144-RA,F1P1R5,RNF103,RNF103,RNF103
22,aquChr_transcript:ENSACCT00020000111_R0,GEMOMA_00003143-RA,A0A3Q2U9E8,CHMP3,CHMP3,CHMP3
23,aquChr_transcript:ENSACCT00020000113_R0,GEMOMA_00003142-RA,F1NJY8,KDM3A,KDM3A,KDM3A
